distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,0.6151516562230789,0.3712892211334304,0.8590140913127273
1-2,Upwind,0.04392915099197358,-0.004362351368996188,0.09222065335294335
2-3,Upwind,0.003284722893457785,-0.02173437224149453,0.0283038180284101
3-4,Upwind,-0.016927097190927515,-0.06401007624263749,0.030155881860782458
4-5,Upwind,0.08465888173061839,0.02113979911522461,0.14817796434601216
5-6,Upwind,-0.14751498304789012,-0.19565760608433197,-0.09937236001144827
6-7,Upwind,-0.005802809405822493,-0.05019077355553863,0.038585154743893645
7-8,Upwind,-0.004632459998623754,-0.006691491645904097,-0.0025734283513434123
8-9,Upwind,NA,NA,NA
9-10,Upwind,-0.0053557587272163275,-0.011115287557448459,4.037701030158037e-4
0-1,Downwind,0.015248491253886698,-0.19690199779663112,0.2273989803044045
1-2,Downwind,0.1525234146633232,0.09915878906743403,0.20588804025921237
2-3,Downwind,0.031300151198187104,0.010343214206409674,0.05225708818996454
3-4,Downwind,-4.629435877562607e-4,-0.04519810428749992,0.0442722171119874
4-5,Downwind,-0.10309978885558345,-0.16126872553736388,-0.04493085217380303
5-6,Downwind,0.10749523183372808,0.06867718843863885,0.14631327522881732
6-7,Downwind,-0.0514355641122149,-0.08775909321157663,-0.01511203501285318
7-8,Downwind,0.0014884162895372995,-1.1422447835916869e-4,0.0030910570574337677
8-9,Downwind,NA,NA,NA
9-10,Downwind,0.01225286271528037,0.006336620507198855,0.018169104923361885
0-1,Lateral,0.2198997196188942,0.008851366414189737,0.4309480728235987
1-2,Lateral,0.05449170567754698,0.027659395196837182,0.08132401615825677
2-3,Lateral,-0.023811551097922483,-0.03742896395333036,-0.010194138242514606
3-4,Lateral,0.0938487120808355,0.0635346936219581,0.12416273053971291
4-5,Lateral,-0.012365330391647188,-0.06056368160887647,0.035833020825582096
5-6,Lateral,-0.052679016176291046,-0.09436337840564388,-0.010994653946938208
6-7,Lateral,0.010396906096390076,-0.022973678888428335,0.04376749108120848
7-8,Lateral,1.525152599804853e-4,-0.0020552010696634035,0.002360231589624374
8-9,Lateral,NA,NA,NA
9-10,Lateral,0.004298543841745338,-4.425721162890882e-4,0.009039659799779763
