preprod_count_uw_0to1km,preprod_count_uw_1to2km,preprod_count_uw_2to3km,preprod_count_uw_3to4km,preprod_count_uw_4to5km,prod_volume_upwind_0to1km,prod_volume_upwind_1to2km,prod_volume_upwind_2to3km,prod_volume_upwind_3to4km,prod_volume_upwind_4to5km
1,0.73,0.33,0.31,0.25,0.04,0.23,0.17,0.2,0.3
0.73,1,0.4,0.41,0.31,0.08,0.32,0.24,0.29,0.41
0.33,0.4,1,0.41,0.32,0.16,0.39,0.39,0.35,0.38
0.31,0.41,0.41,1,0.67,0.1,0.29,0.29,0.38,0.48
0.25,0.31,0.32,0.67,1,0.12,0.33,0.37,0.38,0.44
0.04,0.08,0.16,0.1,0.12,1,0.53,0.4,0.25,0.24
0.23,0.32,0.39,0.29,0.33,0.53,1,0.81,0.62,0.6
0.17,0.24,0.39,0.29,0.37,0.4,0.81,1,0.78,0.61
0.2,0.29,0.35,0.38,0.38,0.25,0.62,0.78,1,0.81
0.3,0.41,0.38,0.48,0.44,0.24,0.6,0.61,0.81,1
